id,cas,tipo,nome,cas_nome,endereco,endereco_completo_geocodificacao,bairro,cep,email,responsavel,abrangencia,latitude_aproximada,longitude_aproximada,precisao_geocodificacao,fonte
38,8ª CAS,CRAS,CRAS OLÍMPIA ESTEVES,BANGU,"Rua Santa Cecília, 984 – Bangu (ponto de referência: próximo à Paróquia São Sebastião e Santa Cecília)","Rua Santa Cecília, 984 – Bangu (ponto de referência: próximo à Paróquia São Sebastião e Santa Cecília), Rio de Janeiro, RJ, Brasil",Bangu,,crasolimpiaesteves.smas@prefeitura.rio,Simone Teixeira,"Bangu, Batan, Realengo e Vila Kennedy",-22.8808,-43.4693,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
39,9ª CAS,CRAS,CRAS ALUNO MARCELO CARDOSO TOMÉ,CAMPO GRANDE,"Rua Breno Pessoa, 15 – Campo Grande","Rua Breno Pessoa, 15 – Campo Grande, Rio de Janeiro, RJ, Brasil",Campo Grande,,crasalunomarcelo.smas@prefeitura.rio,Érica Cristina,"Campo Grande, Santíssimo (parte) e Senador Vasconcelos (parte)",-22.9035,-43.5585,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
40,9ª CAS,CRAS,CRAS LUISA MAHIM,CAMPO GRANDE,"Rua Campo Grande, 3058 – Inhoaíba – (Ponto de referência: próximo ao GET Medalhista Olímpico Diego Hypólito)","Rua Campo Grande, 3058 – Inhoaíba – (Ponto de referência: próximo ao GET Medalhista Olímpico Diego Hypólito), Rio de Janeiro, RJ, Brasil",,,crasluizamahim.smas@prefeitura.rio,Cilene Boarro,Cosmos e Inhoaíba,-22.9035,-43.5585,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
41,9ª CAS,CRAS,CRAS CECILIA MEIRELES,CAMPO GRANDE,"Rua Viúva Dantas, 695 – Campo Grande","Rua Viúva Dantas, 695 – Campo Grande, Rio de Janeiro, RJ, Brasil",Campo Grande,,crasceciliameireles.smas@prefeitura.rio,Renata Rocha,"Campo Grande, Santíssimo e Senador Vasconcelos (parte)",-22.9035,-43.5585,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
42,10ª CAS,CRAS,CRAS BETTY FRIEDMAN,SANTA CRUZ,"Rua Prainha, 57 – Sepetiba (ponto de referência: próximo ao GET Professor Carmo Reis)","Rua Prainha, 57 – Sepetiba (ponto de referência: próximo ao GET Professor Carmo Reis), Rio de Janeiro, RJ, Brasil",Sepetiba,,crasbettyfriedan.smas@prefeitura.rio,Denise Assunção,"Alagado, Balneário Globo, Beco da Guarda, Beco do Constâncio, Mata Sete, Nova Sepetiba, Piai, Ponta do Ipiranga, Praia da Brisa, Praia de Sepetiba, Praia do Cardo, Praia do Recôncavo, Tijolinho, Vila Fernanda e Sepetiba",-22.9679,-43.7067,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
43,10ª CAS,CRAS,CRAS PROFESSORA HELENICE NUNES JACINTHO,SANTA CRUZ,"Travessa JK, 5 – Paciência (ponto de referência: Estação BRT 31 de Outubro)","Travessa JK, 5 – Paciência (ponto de referência: Estação BRT 31 de Outubro), Rio de Janeiro, RJ, Brasil",Paciência,,s: crashelenicenunesj.smas@prefeitura.rio e cjacintocrashelenicenunesj.smas@prefeitura.rio,Andréa Rodrigues,Paciência,-22.9001,-43.6358,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
44,10ª CAS,CRAS,CRAS MARIA CLARA MACHADO,SANTA CRUZ,"Rua Gabriel Bernardes, s/nº – Santa Cruz","Rua Gabriel Bernardes, s/nº – Santa Cruz, Rio de Janeiro, RJ, Brasil",Santa Cruz,,crasmariaclaramachado.smas@prefeitura.rio,Elaine Militão,Santa Cruz,-22.9185,-43.6846,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
45,10ª CAS,CRAS,CRAS IACYRA FRAZÃO SOUSA,SANTA CRUZ,"Rua Eremias Delizoicoiv, s/nº – Urucânia (Paciência)","Rua Eremias Delizoicoiv, s/nº – Urucânia (Paciência), Rio de Janeiro, RJ, Brasil",Urucânia,,crasiacyrafrazao.smas@prefeitura.rio,Cintia Carla Rosa Serafim,"Coqueiral, Mangaratiba e Urucânia",-22.9001,-43.6358,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
46,10ª CAS,CRAS,CRAS MARIA VIEIRA BAZANI,SANTA CRUZ,"Estrada do Mato Alto, 5620 – Guaratiba (Fazenda Modelo, próximo à Estação BRT Mato Alto)","Estrada do Mato Alto, 5620 – Guaratiba (Fazenda Modelo, próximo à Estação BRT Mato Alto), Rio de Janeiro, RJ, Brasil",Guaratiba,,crasmariavieirabazani.smas@prefeitura.rio,Márcia Cristina,"Barra de Guaratiba, Guaratiba, Ilha de Guaratiba, Jardim Maravilha e Pedra de Guaratiba",-22.9945,-43.5871,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
47,10ª CAS,CRAS,CRAS JORGE GONÇALVES,SANTA CRUZ,"Rua Primeira, 61 – Santa Cruz (Largo do Bodegão)","Rua Primeira, 61 – Santa Cruz (Largo do Bodegão), Rio de Janeiro, RJ, Brasil",Santa Cruz,,crasjorgegoncalves.smas@prefeitura.rio,Lilian Teixeira,"Antares, Areia Branca, Cesarão I, II e III, Cruz das Almas, Jaqueira, Largo do Arão, Matadouro, Novo Camarão, Nova Palestina, Pedrinhas, São Benedito, Santa Cruz (centro), Santa Veridiana, Vitor Dumas e Rolas I e II",-22.9185,-43.6846,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,CREAS,CREAS SIMONE DE BEAUVOIR,CENTRO,"Rua República do Líbano, 54 – Centro (ponto de referência: próximo ao Campo de Santana)","Rua República do Líbano, 54 – Centro (ponto de referência: próximo ao Campo de Santana), Rio de Janeiro, RJ, Brasil",Centro,,creassimonedebeauvoir@prefeitura.rio,Roseane Garcia,"Benfica, Caju, Catumbi, Centro, Cidade Nova, Estácio, Gamboa, Lapa, Mangueira, Paquetá, Rio Comprido, Santa Teresa, Santo Cristo, São Cristóvão, Saúde, Vasco da Gama",-22.9068,-43.1729,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,2ª CAS,CREAS,CREAS ARLINDO RODRIGUES,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua Desembargador Isidro, 48 / fundos – Tijuca","Rua Desembargador Isidro, 48 / fundos – Tijuca, Rio de Janeiro, RJ, Brasil",Tijuca,,creasarlindorodrigues@prefeitura.rio,Gabriela Furtado,"Alto da Boa Vista, Andaraí, Grajaú, Maracanã, Praça da Bandeira, Tijuca e Vila Isabel",-22.9268,-43.2373,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,2ª CAS,CREAS,CREAS MARIA LINA DE CASTRO LIMA,"VILA ISABEL, GRANDE TIJUCA E ZONA SUL","Rua São Salvador, 56 / 2º andar – Laranjeiras","Rua São Salvador, 56 / 2º andar – Laranjeiras, Rio de Janeiro, RJ, Brasil",Laranjeiras,,creasmarialina@prefeitura.rio,Leandro Teixeira,"s: Botafogo, Catete, Copacabana, Cosme Velho, Flamengo, Gávea, Glória, Horto, Humaitá, Ipanema, Jardim Botânico, Lagoa, Laranjeiras, Leblon, Leme, Rocinha, São Conrado, Urca e Vidigal",-22.9343,-43.1848,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,3ª CAS,CREAS,CREAS JANETE CLAIR,ENGENHO NOVO,"Rua Piranga, 50 – Méier (ponto de referência: Caixa Econômica da Rua Dias da Cruz)","Rua Piranga, 50 – Méier (ponto de referência: Caixa Econômica da Rua Dias da Cruz), Rio de Janeiro, RJ, Brasil",Méier,,creasjaneteclair@prefeitura.rio,Denise Leal,"Abolição, Água Santa, Cachambi, Del Castilho, Encantado, Engenho da Rainha, Engenho de Dentro, Engenho Novo, Higienópolis, Inhaúma (parte), Jacaré, Jacarezinho, Lins de Vasconcelos, Maria da Graça, Méier, Piedade, Pilares, Riachuelo, Rocha, Sampaio, São Francisco Xavier, Todos os Santos e Tomás Coelho (parte)",-22.9029,-43.2818,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,4ª CAS,CREAS,CREAS STELLA MARIS,BONSUCESSO,"Estrada dos Maracajás, 973 – Galeão / Ilha do Governador (ponto de referência: localizado entre a Creche Stella Maris e a CRAF Tom Jobim)","Estrada dos Maracajás, 973 – Galeão / Ilha do Governador (ponto de referência: localizado entre a Creche Stella Maris e a CRAF Tom Jobim), Rio de Janeiro, RJ, Brasil",Galeão,,creasstellamaris@prefeitura.rio,Fabiana Figueiredo,"Ilha do Governador, Cidade Universitária e Maré",-22.8091,-43.2435,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,4ª CAS,CREAS,CREAS NELSON CARNEIRO,BONSUCESSO,"Rua Professor Lacé, 57 – Ramos (ponto de referência: próximo à estação Supervia Ramos)","Rua Professor Lacé, 57 – Ramos (ponto de referência: próximo à estação Supervia Ramos), Rio de Janeiro, RJ, Brasil",Ramos,,creasnelsoncarneiro@prefeitura.rio,Danielle Monteiro,"Bonsucesso, Brás de Pina, Complexo do Alemão, Cordovil, Jardim América, Manguinhos, Olaria, Parada de Lucas, Pavuna (parte), Penha, Penha Circular, Ramos, Vigário Geral e Vila da Penha (parte)",-22.852,-43.255,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,5ª CAS,CREAS,CREAS PROFESSORA MÁRCIA LOPES,MADUREIRA,"Rua Carvalho de Souza, 274 – Madureira (ponto de referência: ao lado das Casas Bahia)","Rua Carvalho de Souza, 274 – Madureira (ponto de referência: ao lado das Casas Bahia), Rio de Janeiro, RJ, Brasil",Madureira,,creasprofmarcialopes@prefeitura.rio,Flávia Cabral,"Bento Ribeiro, Campinho, Cavalcante, Cascadura, Coelho Neto, Engenheiro Leal, Guadalupe, Honório Gurgel, Madureira, Marechal Hermes, Mariópolis, Oswaldo Cruz, Parque Anchieta, Quintino Bocaiúva, Ricardo de Albuquerque, Rocha Miranda, Tiriaçu e Vaz Lobo",-22.87,-43.3391,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
8,6ª CAS,CREAS,CREAS JOÃO HÉLIO FERNANDES VIEITES,IRAJÁ,"Rua Ouseley, 421 – Coelho Neto (ponto de referência: ao lado do PAM Coelho Neto)","Rua Ouseley, 421 – Coelho Neto (ponto de referência: ao lado do PAM Coelho Neto), Rio de Janeiro, RJ, Brasil",Coelho Neto,,creasjoaohelio@prefeitura.rio,Mara Fernandes,"Acari, Anchieta, Barros Filho, Costa Barros, Parque Colúmbia e Pavuna",-22.8317,-43.35,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
9,6ª CAS,CREAS,CREAS WANDA ENGEL ADUAN,IRAJÁ,"Estrada Pedro Borges de Freitas, 144 – Irajá","Estrada Pedro Borges de Freitas, 144 – Irajá, Rio de Janeiro, RJ, Brasil",Irajá,,creaswandaengel@prefeitura.rio,Annatanes,"Colégio, Irajá, Vincente de Carvalho, Vila da Penha, Vila Kosmos e Vista Alegre",-22.8314,-43.3231,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
10,7ª CAS,CREAS,CREAS DANIELA PEREZ,JACAREPAGUÁ,"Rua Nacional, 275 – Taquara (ponto de referência: em frente ao Colégio Carlos Lacerda)","Rua Nacional, 275 – Taquara (ponto de referência: em frente ao Colégio Carlos Lacerda), Rio de Janeiro, RJ, Brasil",Taquara,,creasdanielaperez@prefeitura.rio,Cirenice Nascimento,"Anil, Barra da Tijuca, Camorim, Cidade de Deus, Colônia, Curicica, Freguesia (Jacarepaguá), Gardênia Azul, Grumari, Itanhagá, Jacarepaguá, Joá, Pechincha, Praça Seca, Recreio dos Bandeirantes, Tanque, Taquara, Vargem Grande, Vargem Pequena, Vila Valqueire",-22.9217,-43.3844,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
11,8ª CAS,CREAS,CREAS PROFESSORA ALDAÍZA SPOSATI,BANGU,"Rua Limites, 1,349 – Realengo","Rua Limites, 1,349 – Realengo, Rio de Janeiro, RJ, Brasil",Realengo,,creasprofaldaizasposati@prefeitura.rio,Roberta Marinheiro,"Bangu, Campo dos Afonso, Deodoro, Gericinó, Jabour, Jardim Sulacap, Magalhães Bastos, Padre Miguel, Realengo, Santíssimo (até ETERJ), Senador Camará e Vila Militar",-22.8764,-43.4304,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
12,9ª CAS,CREAS,CREAS ZILDA ARNS NEUMANN,CAMPO GRANDE,"Rua Cândido Magalhães, 88 – Campo Grande (ponto de referência: próximo ao Colégio Bahiense)","Rua Cândido Magalhães, 88 – Campo Grande (ponto de referência: próximo ao Colégio Bahiense), Rio de Janeiro, RJ, Brasil",Campo Grande,,creaszildaarns@prefeitura.rio,Marcelo Jaccoud,"Campo Grande, Cosmos, Inhoaíba, Santíssimo e Senador Vasconcelos",-22.9035,-43.5585,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
13,10ª CAS,CREAS,CREAS PADRE GUILHERME DECAMINADA,SANTA CRUZ,"Rua Gabriel Bernardes, s/nº – Santa Cruz","Rua Gabriel Bernardes, s/nº – Santa Cruz, Rio de Janeiro, RJ, Brasil",Santa Cruz,,creaspadreguilherme@prefeitura.rio,Eliane Pixioline,Santa Cruz e Sepetiba,-22.9185,-43.6846,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
14,10ª CAS,CREAS,CREAS JOÃO MANOEL MONTEIRO,SANTA CRUZ,"Estrada da Matriz, s/nº – Pedra de Guaratiba (ponto de referência: Administração Regional da Pedra de Guaratiba)","Estrada da Matriz, s/nº – Pedra de Guaratiba (ponto de referência: Administração Regional da Pedra de Guaratiba), Rio de Janeiro, RJ, Brasil",Pedra de Guaratiba,,creasjoaomanoel@prefeitura.rio,Patrícia Leiras,"Barra de Guaratiba, Guaratiba, Ilha de Guaratiba, Paciência, Pedra de Guaratiba",-22.9971,-43.6406,bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,ALBERGUE,ALBERGUE ALFONSO LAVALLE (idosos misto),LAPA,"Rua Mem de Sá, no 85","Rua Mem de Sá, nº 85, Lapa, Rio de Janeiro, RJ, Brasil",Lapa,,,,,"-22,9136","-43,1809",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,1ª CAS,ALBERGUE,ALBERGUE HERBERT DE SOUZA (masculino adulto),CENTRO,"Rua do Senado, nº 274","Rua do Senado, nº 274, Centro, Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,9099","-43,1902",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,1ª CAS,ALBERGUE,ALBERGUE NISE DA SILVEIRA (masculino adulto),CENTRO,"Rua General Cadwell, nº 297","Rua General Caldwell, nº 297, Centro, Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,9103","-43,1945",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,1ª CAS,ALBERGUE,ALBERGUE MARTIN LUTHER KING JR (masculino adulto),CENTRO,"Rua Sacadura Cabral, nº 43","Rua Sacadura Cabral, nº 43, Centro, Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,8978","-43,1813",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,1ª CAS,ALBERGUE,ALBERGUE DAVID MIRANDA (LGBTQIA+) - adultos,SAÚDE,"Rua Tenente Possolo, nº 49","Rua Tenente Possolo, nº 49, Saúde, Rio de Janeiro, RJ, Brasil",Saúde,,,,,"-22,8983","-43,1847",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,2ª CAS,ALBERGUE,ALBERGUE DERCY GONÇALVES (Homens Adultos),TIJUCA,"Rua Haddock Lobo, nº 326","Rua Haddock Lobo, nº 326, Tijuca, Rio de Janeiro, RJ, Brasil",Tijuca,,,,,"-22,9237","-43,2179",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,8ª CAS,ALBERGUE,ALBERGUE REALENGO (adultos masculino),REALENGO,"Av. Brasil, nº28.650","Av. Brasil, nº 28.650, Realengo, Rio de Janeiro, RJ, Brasil",Realengo,,,,,"-22,8696","-43,4378",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,CADRio,CENTRAL CADRIO CENTRO ,CENTRO,"Rua da Carioca, nº 58","Rua da Carioca, nº 58, Centro, Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,9066","-43,1795",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,2ª CAS,CADRio,CENTRAL CADRIO RINALDO DE LAMARE,SÃO CONRADO,"Av. Niemeyer, nº 776 - 8º e 9º andar","Av. Niemeyer, nº 776 - 8º e 9º andar, São Conrado, Rio de Janeiro, RJ, Brasil",São Conrado,,,,,"-22,9990","-43,2670",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,3ª CAS,CADRio,CENTRAL CADRIO - GRANDE MÉIER,CACHAMBI,"Av. Dom Hélder Câmara, nº 5474 (cobertura do Norte Shopping - salas 3004 e 3005)","Av. Dom Hélder Câmara, nº 5474 (cobertura do Norte Shopping - salas 3004 e 3005), Cachambi, Rio de Janeiro, RJ, Brasil",Cachambi,,,,,"-22,8879","-43,2828",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,4ª CAS,CADRio,CENTRAL CADRIO PENHA,PENHA," Rua Leopoldina Rego, nº 754","Rua Leopoldina Rego, nº 754, Penha, Rio de Janeiro, RJ, Brasil",Penha,,,,,"-22,8429","-43,2909",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,5ª CAS,CADRio,CENTRAL CADRIO - MADUREIRA,MADUREIRA," Av. Ministro Edgard Romero, nº 400 - Térreo","Av. Ministro Edgard Romero, nº 400 - Térreo, Madureira, Rio de Janeiro, RJ, Brasil",Madureira,,,,,"-22,8700","-43,3391",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,6ª CAS,CADRio,CENTRAL CADRIO IRAJÁ ,VILA DA PENHA,"Av. Meriti, nº 203 (Largo do Bicão)","Av. Meriti, nº 203 (Largo do Bicão), Vila Da Penha, Rio de Janeiro, RJ, Brasil",Vila da Penha,,,,,"-22,8428","-43,3150",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,7ª CAS,CADRio,CENTRAL CADRIO BARRA/JACAREPAGUÁ,BARRA DA TIJUCA,"Av. Ayrton Senna, nº 2541 (Aerotown)","Av. Ayrton Senna, nº 2541 (Aerotown), Barra Da Tijuca, Rio de Janeiro, RJ, Brasil",Barra da Tijuca,,,,,"-22,9876","-43,3662",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
8,8ª CAS,CADRio,CENTRAL CADRIO - BANGU,BANGU," Rua Silva Cardoso, nº 349 - Fundos","Rua Silva Cardoso, nº 349 - Fundos, Bangu, Rio de Janeiro, RJ, Brasil",Bangu,,,,,"-22,8785","-43,4679",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
9,9ª CAS,CADRio,CENTRAL CADRIO CAMPO GRANDE,CAMPO GRANDE,"Rua Viúva Dantas, nº 61","Rua Viúva Dantas, nº 61, Campo Grande, Rio de Janeiro, RJ, Brasil",Campo Grande,,,,,"-22,9047","-43,5574",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
10,10ª CAS,CADRio,CENTRAL CADRIO - SANTA CRUZ,SANTA CRUZ,"Rua Fernanda, nº 155","Rua Fernanda, nº 155, Santa Cruz, Rio de Janeiro, RJ, Brasil",Santa Cruz,,,,,"-22,9185","-43,6846",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,CONTUTELAR,CONSELHO TUTELAR 01 - CENTRO ,CENTRO ,"Rua República do Líbano, nº 54","Rua República do Líbano, nº 54, Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,9087","-43,1806",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,1ª CAS,CONTUTELAR,CONSELHO TUTELAR 02 -  ZONA SUL , ZONA SUL ,"Rua São Salvador, nº 56","Rua São Salvador, nº 56, Rio de Janeiro, RJ, Brasil",Laranjeiras,,,,,"-22,9337","-43,1814",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,2ª CAS,CONTUTELAR,CONSELHO TUTELAR 03 - VILA ISABEL,VILA ISABEL,"Rua Desembargador Isidro, nº 48","Rua Desembargador Isidro, nº 48, Rio de Janeiro, RJ, Brasil",Tijuca,,,,,"-22,9240","-43,2340",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
4,3ª CAS,CONTUTELAR,CONSELHO TUTELAR 04 - MÉIER,MÉIER,"Rua 24 de Maio, nº 931 - 2º andar","Rua 24 de Maio, nº 931 - 2º andar, Rio de Janeiro, RJ, Brasil",Engenho Novo,,,,,"-22,9031","-43,2678",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
5,3ª CAS,CONTUTELAR,CONSELHO TUTELAR 14 - INHAÚMA,INHAÚMA,"Estrada Adhemar Bebiano, nº 3151","Estrada Adhemar Bebiano, nº 3151, Rio de Janeiro, RJ, Brasil",Inhaúma,,,,,"-22,8728","-43,2998",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
6,4ª CAS,CONTUTELAR,CONSELHO TUTELAR 05 - RAMOS,RAMOS,"Rua Professor Lacê, nº 57","Rua Professor Lacê, nº 57, Rio de Janeiro, RJ, Brasil",Ramos,,,,,"-22,8523","-43,2553",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
7,4ª CAS,CONTUTELAR,CONSELHO TUTELAR 11 - BONSUCESSO,BONSUCESSO,"Rua da Regeneração, nº 654","Rua da Regeneração, nº 654, Rio de Janeiro, RJ, Brasil",Bonsucesso,,,,,"-22,8620","-43,2539",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
8,4ª CAS,CONTUTELAR,CONSELHO TUTELAR 19  - ILHA DO GOVERNADOR,ILHA DO GOVERNADOR,"Av. Paranapuã, nº 941","Av. Paranapuã, nº 941, Rio de Janeiro, RJ, Brasil",Tauá,,,,,"-22,8035","-43,1878",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
9,5ª CAS,CONTUTELAR,CONSELHO TUTELAR 06 - MADUREIRA,MADUREIRA,"Av. Ministro Edgard Romero, nº 400 - 2º andar","Av. Ministro Edgard Romero, nº 400 - 2º andar, Rio de Janeiro, RJ, Brasil",Madureira,,,,,"-22,8710","-43,3368",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
10,5ª CAS,CONTUTELAR,CONSELHO TUTELAR 12 - COELHO NETO,COELHO NETO,"Av. Brasil, s/n (CIEP Antonio Candeia Filho)","Av. Brasil, s/n (CIEP Antonio Candeia Filho), Rio de Janeiro, RJ, Brasil",Coelho Neto,,,,,"-22,8336","-43,3446",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
11,7ª CAS,CONTUTELAR,CONSELHO TUTELAR 07 - JACAREPAGUÁ,JACAREPAGUÁ,"Estrada Rodrigues Caldas, nº 3400 - sala 204","Estrada Rodrigues Caldas, nº 3400 - sala 204, Rio de Janeiro, RJ, Brasil",Jacarepaguá,,,,,"-22,9440","-43,4005",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
12,7ª CAS,CONTUTELAR,CONSELHO TUTELAR 16 - BARRA / RECREIO,BARRA / RECREIO,"Rua Rosalina Brand, nº 200","Rua Rosalina Brand, nº 200, Rio de Janeiro, RJ, Brasil",Barra/Recreio,,,,,"-23,0110","-43,4605",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
13,7ª CAS,CONTUTELAR,CONSELHO TUTELAR 18 - TAQUARA,TAQUARA,"Estrada do Tindiba, nº 2527","Estrada do Tindiba, nº 2527, Rio de Janeiro, RJ, Brasil",Taquara,,,,,"-22,9235","-43,3844",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
14,8ª CAS,CONTUTELAR,CONSELHO TUTELAR 08 - BANGU,BANGU,"Rua Silva Cardoso, nº 349 - salas 08 e 09","Rua Silva Cardoso, nº 349 - salas 08 e 09, Rio de Janeiro, RJ, Brasil",Bangu,,,,,"-22,8818","-43,4658",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
15,8ª CAS,CONTUTELAR,CONSELHO TUTELAR 17 - REALENGO,REALENGO,"Estr. do Engenho Novo, s/n (CIEP Thomas Jefferson)","Estr. do Engenho Novo, s/n (CIEP Thomas Jefferson), Rio de Janeiro, RJ, Brasil",Realengo,,,,,"-22,8765","-43,4341",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
16,9ª CAS,CONTUTELAR,CONSELHO TUTELAR 09 - CAMPO GRANDE,CAMPO GRANDE,"Rua Carlos da Silva Costa, nº 32","Rua Carlos da Silva Costa, nº 32, Rio de Janeiro, RJ, Brasil",Campo Grande,,,,,"-22,9030","-43,5579",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
17,10ª CAS,CONTUTELAR,CONSELHO TUTELAR 10 - SANTA CRUZ,SANTA CRUZ,"Rua Lopes Moura, nº 58","Rua Lopes Moura, nº 58, Rio de Janeiro, RJ, Brasil",Santa Cruz,,,,,"-22,9191","-43,6841",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
18,10ª CAS,CONTUTELAR,CONSELHO TUTELAR 15 - GUARATIBA,GUARATIBA,"Rua Pedra Bela, nº 435","Rua Pedra Bela, nº 435, Rio de Janeiro, RJ, Brasil",Guaratiba,,,,,"-22,9949","-43,5844",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
1,1ª CAS,URS,URS DOM HÉLDER CÂMARA (adolescente masculino) ,CENTRO,"Rua Benedito Hipólito, nº 163 (Praça Onze)","Rua Benedito Hipólito, nº 163 (Praça Onze), Rio de Janeiro, RJ, Brasil",Centro,,,,,"-22,9068","-43,2009",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
2,1ª CAS,URS,URS IRMÃ DULCE (adulto feminino),RIO COMPRIDO,"Rua Visconde de Jequitinhonha, nº 50","Rua Visconde de Jequitinhonha, nº 50, Rio de Janeiro, RJ, Brasil",Rio Comprido,,,,,"-22,9260","-43,2099",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
3,2ª CAS,URS,URS ANA CAROLINA (bebês de 0 a 4 anos),LARANJEIRAS,"Rua Pinheiro Machado, nº 39","Rua Pinheiro Machado, nº 39, Rio de Janeiro, RJ, Brasil",Laranjeiras,,,,,"-22,9338","-43,1848",bairro/CAS aproximado; revisar por geocodificação oficial,Listagem enviada pelo usuário
